,Updated: 17 Oct 2023,,,,,,,,,,,,,,,,,,,Chuy?n máy t? ... v? ... dd.mm.yyyy,,,,,,,,,,,,,,,,,,,,,,,Non FA,,,,
,,,,,,,,,,,,,,,,,,,,Chuy?n máy CUT t? HYN v? HYS 12.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRANSFER-Internal: chuy?n máy qua l?i gi?a HYS và HYN,,,,,,,,,,,,,,,,,,,Chuy?n máy t? HYN ?i H?ng Long thuê 11.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRANSFER-External: chuy?n ra kh?i HYS và HYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non FA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,,,,ACT 2023,,,,,,,,,,Luan note,,,,
,Actual location,Stt,DIVISION,ASSET,LAWPROD_AMASSET_DESCRIPTION,ITEM_TOT_QTY,Q'ty 2,Tag th?c t?,Tag,TAG_NBR,SERIAL_NUMBER,MODEL_NUMBER,MODEL,Plant th?c t?,NOTE_BIN,Bin th?c t?,Tên máy,Khu v?c,Tr?ng thái,Ghi chú,From,To,To 2,To 3,Th?i h?n Transfer,ASSET_TYPE,INSRV_DATE, BOOK_BASIS , Net_Book_Value ,Department,Lo?i máy,Note,CS-line,Nhà s?n xu?t,S? tag,Serial,Model,Bin,Location,"Tên 
Ng??i ki?m","Tên
Ng??i nh?p",Note,Note match,,,,
#N/A,HYN,1,3844-7314321,290576,SEWING MACHINE,1,1,219295,219295,219295,HA 32358,CF2303M-140M-21,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,3/1/2008, $891 , $-   ,Mechanic,Máy may,,HYN-10 11,Yamato,219295,HA32358,CF2303,E4.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYN,2,3844-7314321,290585,SEWING MACHINE,1,1,219308,219308,219308,HA 32565,CF2303M-140M-21,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,3/1/2008, $891 , $-   ,Mechanic,Máy may,,HYN-11 5,Yamato,219308,HA32565,CF2303,E6.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYS,3,3844-7254321,290556,SEWING MACHINE,1,1,219137,219137,219137,HA 32087,CF2303M-140M-21,CF2303M,HYS,In production,X??ng B,Interlock,Sewing machine,,,,,,,,MACHEQUIP,3/1/2008, $891 , $-   ,Mechanic,Máy may,,MEC-105 16,,219137,HA 32087,CF2303M-140M-21,G02,,Nam,H??ng,,Match,,,,
#N/A,HYN,4,3844-7314321,290822,SEWING MACHINE,1,1,M?t,219394,219394,HA 32368,CF2339M-164S5-31-1,CF2339M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,3/1/2008," $1,740 ", $-   ,Mechanic,Máy may,,HYN-14 4,Yamato,M?t,HA 32368,CF2339,G4.1,HYN,Thuy?n,Luân,OK,Match,,,,
